periodo,periodo_dt,anio,mes,banco_estandarizado,activos_totales,pasivos_totales,patrimonio,morosidad,solvencia_proxy,roe,roe_real,roe_estimado,error_roe,error_abs_roe
2009-05,2009-05-01,2009,5,BOLIVARIANO,1252.95,1139.13,107.46,1.68,7.2,13.97,13.97,13.863707667702656,0.10629233229734503,0.10629233229734503
2009-05,2009-05-01,2009,5,CAPITAL,59.51,47.22,11.72,12.12,17.07,11.75,11.75,11.52061811882562,0.22938188117437974,0.22938188117437974
2009-05,2009-05-01,2009,5,CITIBANK,280.77,250.18,28.96,5.72,9.18,13.52,13.52,16.782755044585045,-3.2627550445850453,3.2627550445850453
2009-05,2009-05-01,2009,5,COFIEC,12.17,3.62,8.42,3.93,52.27,3.56,3.56,7.167915805675802,-3.6079158056758023,3.6079158056758023
2009-05,2009-05-01,2009,5,COMERCIAL DE MANABI,30.26,23.61,6.58,5.82,15.94,2.51,2.51,3.516679901487401,-1.0066799014874013,1.0066799014874013
2009-05,2009-05-01,2009,5,DELBANK,18.3,10.92,7.34,4.94,27.73,1.37,1.37,3.9316666579716615,-2.5616666579716614,2.5616666579716614
2009-05,2009-05-01,2009,5,FINCA,38.19,27.74,10.26,13.1,23.4,4.67,4.67,6.218991281958787,-1.548991281958787,1.548991281958787
2009-05,2009-05-01,2009,5,GENERAL RUMIÑAHUI,318.21,294.62,21.5,4.68,5.89,23.26,23.26,23.094447459114946,0.16555254088505578,0.16555254088505578
2009-05,2009-05-01,2009,5,GUAYAQUIL,2160.72,1981.86,164.44,2.52,6.62,20.72,20.72,18.095096963499458,2.624903036500541,2.624903036500541
2009-05,2009-05-01,2009,5,INTERNACIONAL,1295.72,1173.88,116.13,2.66,7.68,11.81,11.81,11.298246923169422,0.511753076830578,0.511753076830578
2009-05,2009-05-01,2009,5,LITORAL,22.59,18.93,3.54,5.54,12.77,8.46,8.46,6.936226348003846,1.523773651996155,1.523773651996155
2009-05,2009-05-01,2009,5,LLOYDS BANK,196.06,172.6,22.71,0.69,10.55,7.6,7.6,9.998146156806161,-2.3981461568061615,2.3981461568061615
2009-05,2009-05-01,2009,5,LOJA,204.58,184.13,18.91,3.83,7.28,19.58,19.58,19.419106572871595,0.1608934271284035,0.1608934271284035
2009-05,2009-05-01,2009,5,MACHALA,333.85,300.88,32.02,3.8,7.86,7.11,7.11,11.79356024050024,-4.683560240500239,4.683560240500239
