archivo_origen,periodo,indicador,estado,detalle,hoja,celda,candidatos
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_09.xlsx,2023-09,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_09.xlsx,2023-09,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_09.xlsx,2023-09,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_10.xlsx,2023-10,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_10.xlsx,2023-10,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_10.xlsx,2023-10,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_10.xlsx,2023-10,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_11.xlsx,2023-11,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_11.xlsx,2023-11,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_11.xlsx,2023-11,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_11.xlsx,2023-11,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_12.xlsx,2023-12,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_12.xlsx,2023-12,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_12.xlsx,2023-12,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2023_12.xlsx,2023-12,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_01.xlsx,2024-01,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_01.xlsx,2024-01,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_01.xlsx,2024-01,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_01.xlsx,2024-01,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_02.xlsx,2024-02,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_02.xlsx,2024-02,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_02.xlsx,2024-02,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_02.xlsx,2024-02,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_03.xlsx,2024-03,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_03.xlsx,2024-03,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_03.xlsx,2024-03,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_03.xlsx,2024-03,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_05.xlsx,2024-05,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_05.xlsx,2024-05,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_05.xlsx,2024-05,roe,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_05.xlsx,2024-05,roe,duplicado_nombre_resuelto,Se encontraron 2 coincidencias por nombre; se usó la fila con más valores.,INDICADORES,B53,"[('B53', 23, 23), ('B47', 0, 0)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_04.xlsx,2024-04,morosidad,fallback_nombre_usado,No se encontró una fila útil por código; se usó búsqueda textual por nombre/variantes.,INDICADORES,B29,"[('B29', 23, 23)]"
00_datos_crudos\FINANCIERO MENSUAL BANCA PRIVADA 2024_04.xlsx,2024-04,solvencia_proxy,fallback_nombre_usado,No se encontró una fila útil por IF112; se usó el nombre del Índice de Capitalización Neto FK/FI.,INDICADORES,B88,"[('B88', 23, 23)]"
