periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,ranking,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2026-03,DESARROLLO DE LOS PUEBLOS S.A,activos_totales,331.74,millones_usd,mayor_es_tamano,2026-03-01,16,3450.8517391304345,885.9,23,-3119.111739130434,-90.38672116108953
2026-03,COOPNACIONAL,activos_totales,249.59,millones_usd,mayor_es_tamano,2026-03-01,17,3450.8517391304345,885.9,23,-3201.2617391304343,-92.76729286367738
2026-03,VISIONFUND ECUADOR,activos_totales,175.44,millones_usd,mayor_es_tamano,2026-03-01,18,3450.8517391304345,885.9,23,-3275.4117391304344,-94.91603774191097
2026-03,COMERCIAL DE MANABI,activos_totales,151.11,millones_usd,mayor_es_tamano,2026-03-01,19,3450.8517391304345,885.9,23,-3299.7417391304343,-95.62108107147837
2026-03,ATLANTIDA,activos_totales,149.5,millones_usd,mayor_es_tamano,2026-03-01,20,3450.8517391304345,885.9,23,-3301.3517391304345,-95.66773621987969
2026-03,CAPITAL,activos_totales,82.75,millones_usd,mayor_es_tamano,2026-03-01,21,3450.8517391304345,885.9,23,-3368.1017391304345,-97.60204128558557
2026-03,LITORAL,activos_totales,43.41,millones_usd,mayor_es_tamano,2026-03-01,22,3450.8517391304345,885.9,23,-3407.4417391304346,-98.74204969434768
2026-03,DELBANK,activos_totales,37.9,millones_usd,mayor_es_tamano,2026-03-01,23,3450.8517391304345,885.9,23,-3412.9517391304344,-98.90172041962167
2026-03,CITIBANK,morosidad,0.0,porcentaje,menor_es_mejor,2026-03-01,1,3.657391304347826,3.11,23,-3.657391304347826,-100.0
2026-03,BOLIVARIANO,morosidad,1.62,porcentaje,menor_es_mejor,2026-03-01,2,3.657391304347826,3.11,23,-2.037391304347826,-55.7061340941512
2026-03,INTERNACIONAL,morosidad,1.66,porcentaje,menor_es_mejor,2026-03-01,3,3.657391304347826,3.11,23,-1.9973913043478262,-54.61245839277223
2026-03,GUAYAQUIL,morosidad,2.3,porcentaje,menor_es_mejor,2026-03-01,4,3.657391304347826,3.11,23,-1.3573913043478263,-37.11364717070852
2026-03,PACIFICO,morosidad,2.45,porcentaje,menor_es_mejor,2026-03-01,5,3.657391304347826,3.11,23,-1.207391304347826,-33.01236329053732
2026-03,MACHALA,morosidad,2.51,porcentaje,menor_es_mejor,2026-03-01,6,3.657391304347826,3.11,23,-1.1473913043478263,-31.37184973846886
2026-03,COMERCIAL DE MANABI,morosidad,2.56,porcentaje,menor_es_mejor,2026-03-01,7,3.657391304347826,3.11,23,-1.097391304347826,-30.004755111745123
2026-03,ATLANTIDA,morosidad,2.63,porcentaje,menor_es_mejor,2026-03-01,8,3.657391304347826,3.11,23,-1.0273913043478262,-28.090822634331907
2026-03,DELBANK,morosidad,2.85,porcentaje,menor_es_mejor,2026-03-01,9,3.657391304347826,3.11,23,-0.807391304347826,-22.0756062767475
2026-03,PRODUBANCO,morosidad,2.89,porcentaje,menor_es_mejor,2026-03-01,10,3.657391304347826,3.11,23,-0.767391304347826,-20.98193057536852
2026-03,PROCREDIT,morosidad,3.0,porcentaje,menor_es_mejor,2026-03-01,11,3.657391304347826,3.11,23,-0.6573913043478261,-17.97432239657632
2026-03,AMAZONAS,morosidad,3.11,porcentaje,menor_es_mejor,2026-03-01,12,3.657391304347826,3.11,23,-0.5473913043478262,-14.966714217784121
2026-03,CAPITAL,morosidad,3.15,porcentaje,menor_es_mejor,2026-03-01,13,3.657391304347826,3.11,23,-0.5073913043478262,-13.87303851640514
2026-03,GENERAL RUMIÑAHUI,morosidad,3.3,porcentaje,menor_es_mejor,2026-03-01,14,3.657391304347826,3.11,23,-0.3573913043478263,-9.771754636233956
2026-03,AUSTRO,morosidad,3.39,porcentaje,menor_es_mejor,2026-03-01,15,3.657391304347826,3.11,23,-0.267391304347826,-7.310984308131238
2026-03,LOJA,morosidad,3.53,porcentaje,menor_es_mejor,2026-03-01,16,3.657391304347826,3.11,23,-0.1273913043478263,-3.483119353304809
2026-03,PICHINCHA,morosidad,4.21,porcentaje,menor_es_mejor,2026-03-01,17,3.657391304347826,3.11,23,0.5526086956521739,15.109367570137897
2026-03,VISIONFUND ECUADOR,morosidad,4.62,porcentaje,menor_es_mejor,2026-03-01,18,3.657391304347826,3.11,23,0.962608695652174,26.31954350927247
2026-03,SOLIDARIO,morosidad,5.04,porcentaje,menor_es_mejor,2026-03-01,19,3.657391304347826,3.11,23,1.382608695652174,37.803138373751786
2026-03,COOPNACIONAL,morosidad,5.15,porcentaje,menor_es_mejor,2026-03-01,20,3.657391304347826,3.11,23,1.4926086956521742,40.81074655254399
2026-03,DINERS,morosidad,5.52,porcentaje,menor_es_mejor,2026-03-01,21,3.657391304347826,3.11,23,1.8626086956521735,50.92724679029956
2026-03,LITORAL,morosidad,9.22,porcentaje,menor_es_mejor,2026-03-01,22,3.657391304347826,3.11,23,5.562608695652175,152.09224916785547
2026-03,DESARROLLO DE LOS PUEBLOS S.A,morosidad,9.41,porcentaje,menor_es_mejor,2026-03-01,23,3.657391304347826,3.11,23,5.7526086956521745,157.28720874940564
2026-03,PICHINCHA,pasivos_totales,20142.45,millones_usd,informativo,2026-03-01,1,3106.7452173913043,764.94,23,17035.704782608696,548.3457313217775
2026-03,GUAYAQUIL,pasivos_totales,9564.68,millones_usd,informativo,2026-03-01,2,3106.7452173913043,764.94,23,6457.934782608696,207.8681813512646
2026-03,PACIFICO,pasivos_totales,9063.59,millones_usd,informativo,2026-03-01,3,3106.7452173913043,764.94,23,5956.844782608696,191.73908273078746
2026-03,PRODUBANCO,pasivos_totales,8469.82,millones_usd,informativo,2026-03-01,4,3106.7452173913043,764.94,23,5363.074782608695,172.626797736314
2026-03,BOLIVARIANO,pasivos_totales,5676.8,millones_usd,informativo,2026-03-01,5,3106.7452173913043,764.94,23,2570.054782608696,82.72499361137632
2026-03,INTERNACIONAL,pasivos_totales,5649.99,millones_usd,informativo,2026-03-01,6,3106.7452173913043,764.94,23,2543.2447826086955,81.8620325983547
