periodo,banco_estandarizado,indicador,valor,unidad,sentido,periodo_dt,promedio_sistema,mediana_sistema,bancos_con_dato,diferencia_vs_promedio,diferencia_pct_vs_promedio
2009-01,PRODUBANCO,activos_totales,1585.62,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,942.3851999999999,146.5071852455744
2009-01,PRODUBANCO,morosidad,1.29,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-4.2736,-76.81357394492775
2009-01,PRODUBANCO,pasivos_totales,1431.44,millones_usd,informativo,2009-01-01,574.6976,252.1,25,856.7424000000001,149.07707984164196
2009-01,PRODUBANCO,patrimonio,153.77,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,85.92920000000001,126.66301104939801
2009-01,PRODUBANCO,roe,3.21,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-11.259599999999999,-77.81555813567755
2009-01,PRODUBANCO,solvencia_proxy,8.76,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-5.688000000000001,-39.3687707641196
2009-01,SOLIDARIO,activos_totales,299.53,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-343.7048,-53.433800534423824
2009-01,SOLIDARIO,morosidad,7.63,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,2.0664,37.14141922496225
2009-01,SOLIDARIO,pasivos_totales,262.45,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-312.2476,-54.33250460764061
2009-01,SOLIDARIO,patrimonio,36.98,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-30.860800000000005,-45.49002959870757
2009-01,SOLIDARIO,roe,3.3,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-11.169599999999999,-77.19356443854701
2009-01,SOLIDARIO,solvencia_proxy,10.01,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,-4.438000000000001,-30.717054263565895
2009-01,SUDAMERICANO,activos_totales,8.31,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-634.9248,-98.7080922860517
2009-01,SUDAMERICANO,morosidad,18.6,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,13.0364,234.31591056150697
2009-01,SUDAMERICANO,pasivos_totales,2.23,millones_usd,informativo,2009-01-01,574.6976,252.1,25,-572.4676,-99.6119698429226
2009-01,SUDAMERICANO,patrimonio,6.07,millones_usd,mayor_es_mejor,2009-01-01,67.8408,28.96,25,-61.7708,-91.05258192709992
2009-01,SUDAMERICANO,roe,1.96,porcentaje,mayor_es_mejor,2009-01-01,14.4696,11.64,25,-12.509599999999999,-86.45435948471277
2009-01,SUDAMERICANO,solvencia_proxy,48.57,porcentaje,mayor_es_mejor,2009-01-01,14.448,9.44,25,34.122,236.17109634551494
2009-01,TERRITORIAL,activos_totales,105.83,millones_usd,mayor_es_tamano,2009-01-01,643.2348,288.57,25,-537.4047999999999,-83.5472210147834
2009-01,TERRITORIAL,morosidad,4.84,porcentaje,menor_es_mejor,2009-01-01,5.5636,3.63,25,-0.7236000000000002,-13.00596735926379
