periodo,indicador,promedio_sistema,mediana_sistema,bancos_con_dato
2018-09,pasivos_totales,1453.6583333333335,490.12,24
2018-09,patrimonio,169.10166666666666,57.379999999999995,24
2018-09,roe,13.052083333333334,12.805,24
2018-09,solvencia_proxy,13.64125,9.66,24
2018-10,activos_totales,1641.7758333333334,575.4549999999999,24
2018-10,morosidad,7.615416666666667,4.025,24
2018-10,pasivos_totales,1453.58,510.96,24
2018-10,patrimonio,169.0575,57.355000000000004,24
2018-10,roe,18.700416666666666,13.315000000000001,24
2018-10,solvencia_proxy,13.617083333333333,9.835,24
2018-11,activos_totales,1661.6041666666667,590.05,24
2018-11,morosidad,7.643750000000001,3.8899999999999997,24
2018-11,pasivos_totales,1471.545,523.39,24
2018-11,patrimonio,169.04416666666665,57.195,24
2018-11,roe,14.055416666666666,13.375,24
2018-11,solvencia_proxy,13.460416666666667,9.805,24
2018-12,activos_totales,1707.6658333333335,619.515,24
2018-12,morosidad,11.1,3.59,24
2018-12,pasivos_totales,1515.5183333333334,538.365,24
2018-12,patrimonio,192.1475,58.335,24
2018-12,roe,18.98125,14.01,24
2018-12,solvencia_proxy,13.157499999999999,9.665,24
2019-01,activos_totales,1681.3075,606.39,24
2019-01,morosidad,12.427916666666667,4.08,24
2019-01,pasivos_totales,1486.8104166666665,522.595,24
2019-01,patrimonio,192.41166666666666,58.34,24
2019-01,roe,12.334166666666667,13.344999999999999,24
2019-01,solvencia_proxy,13.856250000000001,10.96,24
2019-02,activos_totales,1710.13875,612.9549999999999,24
2019-02,morosidad,8.644166666666665,3.755,24
2019-02,pasivos_totales,1515.8258333333333,526.575,24
2019-02,patrimonio,190.51958333333334,57.585,24
2019-02,roe,10.72125,10.565000000000001,24
2019-02,solvencia_proxy,13.970416666666667,10.535,24
2019-04,activos_totales,1723.6691666666666,587.025,24
2019-04,morosidad,8.710833333333332,3.77,24
2019-04,pasivos_totales,1527.9441666666664,516.995,24
2019-04,patrimonio,187.9020833333333,57.56,24
2019-04,roe,14.5025,12.875,24
2019-04,solvencia_proxy,14.427916666666667,10.455,24
2019-05,activos_totales,1721.3129166666668,556.035,24
2019-05,morosidad,9.224583333333333,3.945,24
2019-05,pasivos_totales,1525.5229166666666,486.005,24
2019-05,patrimonio,185.68541666666667,57.575,24
2019-05,roe,14.255833333333333,13.65,24
2019-05,solvencia_proxy,14.359583333333333,10.82,24
2019-06,activos_totales,1736.3179166666666,564.1500000000001,24
2019-06,morosidad,9.067083333333334,4.02,24
2019-06,pasivos_totales,1538.5229166666668,494.03,24
2019-06,patrimonio,185.48166666666668,57.57,24
2019-06,roe,14.225,13.95,24
2019-06,solvencia_proxy,14.149583333333334,10.295,24
2019-07,activos_totales,1748.5020833333335,550.805,24
2019-07,morosidad,9.082083333333333,3.945,24
2019-07,pasivos_totales,1548.1679166666665,479.46999999999997,24
2019-07,patrimonio,185.52666666666664,57.42,24
2019-07,roe,15.22125,14.515,24
2019-07,solvencia_proxy,14.14625,10.68,24
2019-08,activos_totales,1770.2079166666665,553.98,24
2019-08,morosidad,9.02,3.9050000000000002,24
2019-08,pasivos_totales,1566.6525000000001,481.37,24
2019-08,patrimonio,186.3770833333333,57.425,24
2019-08,roe,17.057083333333335,15.02,24
2019-08,solvencia_proxy,14.028333333333334,10.684999999999999,24
2019-09,activos_totales,1776.5008333333333,574.7,24
2019-09,morosidad,7.751666666666666,4.06,24
2019-09,pasivos_totales,1571.00375,502.03499999999997,24
2019-09,patrimonio,186.16291666666666,57.425,24
2019-09,roe,14.5675,14.82,24
2019-09,solvencia_proxy,13.960833333333333,10.29,24
