periodo,banco_estandarizado,indicador,valor,unidad,sentido
2015-03,LITORAL,patrimonio,4.06,millones_usd,mayor_es_mejor
2015-03,LITORAL,roe,6.07,porcentaje,mayor_es_mejor
2015-03,LITORAL,solvencia_proxy,14.63,porcentaje,mayor_es_mejor
2015-03,LOJA,activos_totales,450.19,millones_usd,mayor_es_tamano
2015-03,LOJA,morosidad,4.05,porcentaje,menor_es_mejor
2015-03,LOJA,pasivos_totales,407.8,millones_usd,informativo
2015-03,LOJA,patrimonio,40.83,millones_usd,mayor_es_mejor
2015-03,LOJA,roe,15.23,porcentaje,mayor_es_mejor
2015-03,LOJA,solvencia_proxy,8.44,porcentaje,mayor_es_mejor
2015-03,MACHALA,activos_totales,675.28,millones_usd,mayor_es_tamano
2015-03,MACHALA,morosidad,2.52,porcentaje,menor_es_mejor
2015-03,MACHALA,pasivos_totales,624.5,millones_usd,informativo
2015-03,MACHALA,patrimonio,49.86,millones_usd,mayor_es_mejor
2015-03,MACHALA,roe,7.39,porcentaje,mayor_es_mejor
2015-03,MACHALA,solvencia_proxy,6.65,porcentaje,mayor_es_mejor
2015-03,PACIFICO,activos_totales,4474.42,millones_usd,mayor_es_tamano
2015-03,PACIFICO,morosidad,3.48,porcentaje,menor_es_mejor
2015-03,PACIFICO,pasivos_totales,3941.08,millones_usd,informativo
2015-03,PACIFICO,patrimonio,519.99,millones_usd,mayor_es_mejor
2015-03,PACIFICO,roe,10.29,porcentaje,mayor_es_mejor
2015-03,PACIFICO,solvencia_proxy,10.18,porcentaje,mayor_es_mejor
2015-03,PICHINCHA,activos_totales,9621.22,millones_usd,mayor_es_tamano
2015-03,PICHINCHA,morosidad,4.36,porcentaje,menor_es_mejor
2015-03,PICHINCHA,pasivos_totales,8748.39,millones_usd,informativo
2015-03,PICHINCHA,patrimonio,850.79,millones_usd,mayor_es_mejor
2015-03,PICHINCHA,roe,10.36,porcentaje,mayor_es_mejor
2015-03,PICHINCHA,solvencia_proxy,8.23,porcentaje,mayor_es_mejor
2015-03,PROCREDIT,activos_totales,395.96,millones_usd,mayor_es_tamano
2015-03,PROCREDIT,morosidad,3.31,porcentaje,menor_es_mejor
2015-03,PROCREDIT,pasivos_totales,336.61,millones_usd,informativo
2015-03,PROCREDIT,patrimonio,58.53,millones_usd,mayor_es_mejor
2015-03,PROCREDIT,roe,5.63,porcentaje,mayor_es_mejor
2015-03,PROCREDIT,solvencia_proxy,13.12,porcentaje,mayor_es_mejor
2015-03,PRODUBANCO,activos_totales,3798.75,millones_usd,mayor_es_tamano
2015-03,PRODUBANCO,morosidad,2.35,porcentaje,menor_es_mejor
2015-03,PRODUBANCO,pasivos_totales,3496.45,millones_usd,informativo
2015-03,PRODUBANCO,patrimonio,295.65,millones_usd,mayor_es_mejor
2015-03,PRODUBANCO,roe,9.0,porcentaje,mayor_es_mejor
2015-03,PRODUBANCO,solvencia_proxy,6.72,porcentaje,mayor_es_mejor
2015-03,SOLIDARIO,activos_totales,720.08,millones_usd,mayor_es_tamano
2015-03,SOLIDARIO,morosidad,8.01,porcentaje,menor_es_mejor
2015-03,SOLIDARIO,pasivos_totales,601.98,millones_usd,informativo
2015-03,SOLIDARIO,patrimonio,116.52,millones_usd,mayor_es_mejor
2015-03,SOLIDARIO,roe,5.4,porcentaje,mayor_es_mejor
2015-03,SOLIDARIO,solvencia_proxy,14.85,porcentaje,mayor_es_mejor
2015-04,AMAZONAS,activos_totales,146.89,millones_usd,mayor_es_tamano
2015-04,AMAZONAS,morosidad,5.57,porcentaje,menor_es_mejor
